country,code,tfr_early,ctfr_early,te_early,tfr_recent,ctfr_recent,te_recent,delta_tfr,delta_ctfr,timing_contrib,cbpi,region
Iraq,IRQ,6.214650000000001,6.143236055933628,0.07141394406637191,4.4597774999999995,4.315905219924628,0.14387228007537223,1.7548725000000012,1.8273308360090006,-0.07245833600900031,-0.041289800831114665,Middle East & N. Africa
Ireland,IRL,3.3332575,2.9903476898661676,0.3429098101338326,1.85125,2.0450371360714876,-0.19378713607148756,1.4820075000000001,0.94531055379468,0.5366969462053202,0.36214185569595303,Europe
Isle of Man,IMN,2.0844075,2.161572434794029,-0.07716493479402875,1.8108175000000002,1.841734967259578,-0.030917467259578002,0.27359,0.31983746753445086,-0.04624746753445075,,Europe
Israel,ISR,3.2334825,3.2834073734972273,-0.049924873497227296,2.82701,3.013849020976971,-0.18683902097697103,0.4064725,0.2695583525202565,0.13691414747974373,0.33683495803466096,Middle East & N. Africa
Italy,ITA,1.9366675,1.8232362330846823,0.11343126691531791,1.219965,1.4092364191424116,-0.18927141914241163,0.7167025,0.4139998139422707,0.30270268605772954,0.42235472327462165,Europe
Jamaica,JAM,3.658845,3.448206270895765,0.2106387291042351,2.0059075,2.004081737034775,0.001825762965224742,1.6529374999999997,1.4441245338609896,0.20881296613901035,0.12632840996045547,Latin America
Japan,JPN,1.9834725,1.9697909259653517,0.013681574034648536,1.3095225,1.4405869360572634,-0.13106443605726326,0.67395,0.5292039899080883,0.1447460100919118,0.21477262421828294,East Asia & Pacific
Jersey,JEY,1.3444524999999998,1.5969095883364801,-0.2524570883364804,1.4091925,1.4983726272797024,-0.08918012727970248,-0.06474000000000024,0.09853696105677767,-0.16327696105677791,,Europe
Jordan,JOR,7.201482499999999,6.733007119262632,0.4684753807373676,3.7466725,3.97108885948183,-0.22441635948183003,3.4548099999999993,2.7619182597808023,0.6928917402191976,0.200558566236406,Middle East & N. Africa
Kazakhstan,KAZ,3.1339625,2.893878355593616,0.24008414440638437,1.83957,2.344438124433364,-0.5048681244333639,1.2943925,0.549440231160252,0.7449522688397483,0.575522701838699,Central Asia
Kenya,KEN,6.616490000000001,6.141643433509123,0.4748465664908772,4.3931725,4.3306231411203875,0.062549358879612,2.2233175000000003,1.8110202923887355,0.4122972076112652,0.18544234353000197,Sub-Saharan Africa
Kiribati,KIR,4.5828325,4.84125478505973,-0.25842228505973,3.7172549999999998,3.7328113242191474,-0.015556324219147433,0.8655775000000006,1.1084434608405829,-0.24286596084058254,-0.2805825715670548,East Asia & Pacific
Kuwait,KWT,5.45783,5.456437629886947,0.0013923701130535981,2.7941425,2.6692729480193744,0.12486955198062577,2.6636875000000004,2.787164681867573,-0.12347718186757217,-0.04635573124383853,Middle East & N. Africa
Kyrgyzstan,KGZ,4.51269,4.266066111662641,0.24662388833735882,2.50049,2.901345824917696,-0.4008558249176959,2.0122,1.3647202867449453,0.6474797132550547,0.3217770168248955,Central Asia
Laos,LAO,5.7215225,5.635135910133096,0.08638658986690384,3.8197075,3.7020288203043608,0.11767867969563905,1.901815,1.9331070898287352,-0.031292089828735214,-0.016453803250439825,Other
Latvia,LVA,1.742,1.6862392050921424,0.05576079490785779,1.113435,1.5204769419104953,-0.40704194191049536,0.628565,0.1657622631816471,0.46280273681835316,0.736284611485452,Europe
Lebanon,LBN,4.05208,3.9898782093796585,0.06220179062034159,2.4011625,2.487460138046875,-0.08629763804687451,1.6509175000000003,1.5024180713327837,0.1484994286672161,0.08994963628843723,Middle East & N. Africa
Lesotho,LSO,5.076765,4.8896980206861995,0.18706697931380045,3.241885,3.3026570104866453,-0.060772010486644934,1.83488,1.5870410101995542,0.2478389898004454,0.13507095276009623,Sub-Saharan Africa
Liberia,LBR,5.6192874999999995,5.551106142636756,0.06818135736324393,4.8081675,4.654945792682428,0.15322170731757145,0.8111199999999998,0.8961603499543278,-0.08504034995432752,-0.10484311810130133,Other
Libya,LBY,7.28661,7.0426788215118705,0.2439311784881295,2.803905,3.10551472174919,-0.3016097217491902,4.482704999999999,3.9371640997626804,0.5455409002373197,0.12169904114531735,Middle East & N. Africa
Liechtenstein,LIE,1.8457525000000001,1.9008768288607778,-0.05512432886077778,1.455825,1.602438195423555,-0.14661319542355478,0.3899275000000002,0.2984386334372229,0.091488866562777,0.2346304545403362,Europe
Lithuania,LTU,2.0229975,1.9007451756272826,0.12225232437271727,1.2287474999999999,1.5728635669418498,-0.3441160669418497,0.7942499999999999,0.3278816086854328,0.466368391314567,0.5871808515134618,Europe
Luxembourg,LUX,1.4285625,1.6379777718726047,-0.20941527187260478,1.6027050000000003,1.7649954047797656,-0.16229040477976542,-0.1741425000000003,-0.12701763290716084,-0.04712486709283936,,Europe
Macao,MAC,1.567175,1.861868861995154,-0.294693861995154,0.9362650000000001,1.1943221120666188,-0.2580571120666186,0.6309099999999999,0.6675467499285352,-0.03663674992853544,-0.05806969286987914,East Asia & Pacific
Madagascar,MDG,5.8806925,5.954103463989028,-0.07341096398902769,4.7561475,4.568242243866391,0.1879052561336092,1.1245450000000003,1.3858612201226368,-0.2613162201226369,-0.2323750673584755,Other
Malawi,MWI,6.229642500000001,6.072344515920472,0.15729798407952789,5.050965,4.853883922137513,0.1970810778624874,1.178677500000001,1.2184605937829591,-0.03978309378295952,-0.03375231459237959,Sub-Saharan Africa
Malaysia,MYS,4.2146925,4.296132181240894,-0.0814396812408944,2.7753975,2.780479174558588,-0.005081674558588212,1.439295,1.5156530066823062,-0.07635800668230619,-0.05305236708409756,East Asia & Pacific
Maldives,MDV,6.301360000000001,6.066344513126994,0.23501548687300566,2.5545175,3.088821698623085,-0.5343041986230852,3.7468425000000005,2.977522814503909,0.7693196854960909,0.20532479961356548,South Asia
Mali,MLI,6.162955,6.094132188312557,0.06882281168744386,5.7471225,5.683731654796796,0.06339084520320348,0.4158325000000005,0.41040053351576056,0.00543196648424038,0.013062871430781322,Sub-Saharan Africa
